"2022,8422.90.90.000P,""CALDERAS, MAQUINAS, APARATOS Y ARTEFACTOS MECANICOS"; PARTES DE ESTAS MAQUINAS O APARATOS, REACTORES NUCLEARES  MAQUINAS PARA LAVAR VAJILLA; MAQUINAS Y APARATOS PARA LIMPIAR O SECAR BOTELLAS O DEMAS RECIPIENTES; MAQUINAS Y APARATOS PARA LLENAR, CERRAR, TAPAR, TAPONAR O ETIQUETAR BOTELLAS, BOTES O LATAS, CAJAS, SACOS (BOLSAS) O DEMAS CONTINENTES; MAQUINAS Y APARATOS PARA CAPSULAR BOTELLAS, TARROS, TUBOS Y CONTINENTES ANALOGOS; LAS DEMAS MAQUINAS Y APARATOS PARA EMPAQUETAR O ENVOLVER MERCANCIAS (INCLUIDAS LAS DE ENVOLVER CON PELICULA TERMORRETRACTIL);" MAQUINAS Y APARATOS PARA GASEAR BEBIDAS.    -Partes.       Las demÃ‚Â¿s.""";;;;;;;;;;;;;;;;;;;;
2022,3926.40.00.000U,CAPITULO 39 MATERIAS PLASTICAS Y MANUFACTURAS DE ESTAS  MATERIAS  LAS DEMAS MANUFACTURAS DE PLASTICO Y MANUFACTURASDE LAS DEMAS MATERIAS DE LAS PARTIDAS 39.01 A 39.14        -Estatuillas y demas articulos para adorno.;;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,9403.60.00.000V,""CAPITULO 94MUEBLES"; MOBILIARIO MEDICOQUIRURGICO; ARTICULOS  DE CAMA Y SIMILARES; APARATOS DE ALUMBRADO NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE;  ANUNCIOS LUMINOSOS, LETREROS LUMINOSOS, PLACASINDICADORAS LUMINOSAS Y ARTICULOS SIMILARES;" CONSTRUCCIONES PREFABRICADAS  LOS DEMAS MUEBLES Y SUS PARTES.        -Los demÃ‚Â¿s muebles de madera.""";;;;;;;;;;;;;;;;;;;;;
"2022,7117.19.00.000P,""CAPITULO 71PERLAS NATURALES O CULTIVADAS, PIEDRAS PRECIOSAS,  SEMIPRECIOSAS O SIMILARES, METALES PRECIOSOS, CHAPADOS DE METALES PRECIOSOS Y MANUFACTURAS DEESTAS MATERIAS"; BISUTERIA;" MONEDAS.  BISUTERIA. -De metales comunes, incluso plateados, dorados o platinados  -De metales comunes, incluso plateados, dorados o platinados     --Los demÃ‚Â¿s""";;;;;;;;;;;;;;;;;;;;;;;;
"2022,8539.50.00.000B,""CAPITULO 85  MAQUINAS, APARATOS Y MATERIAL ELECTRICO Y SUS PARTES";" APARATOS DE GRABACION O DE REPRODUCCION  DEL SONIDO, APARATOS DE GRABACION O DE REPRODUCCION DE IMAGENES Y DE SONIDOS DE TELEVISION, Y LAS PARTES Y ACCESORIOS DE ESTOSAPARATOS.  LAMPARAS Y TUBOS ELECTRICOS DE INCANDESCENCIAO DE DESCARGA, INCLUIDOS LOS FAROS O UNIDADES""""SELLADOS"""" Y LAS LAMPARAS Y TUBOS DE RAYOSULTRAVIOLETAS O INFRARROJOS";" LAMPARAS DE ARCO. - Fuentes luminosas de diodos emisores de luz (LED):  - Fuentes luminosas de diodos emisores de luz (LED):     LÃ‚Â¿mparas y tubos de diodos emisores de luz (LED)""";;;;;;;;;;;;;;;;;;;;;;;;
"2022,8544.42.00.900N,""CAPITULO 85  MAQUINAS, APARATOS Y MATERIAL ELECTRICO Y SUS PARTES"; APARATOS DE GRABACION O DE REPRODUCCION  DEL SONIDO, APARATOS DE GRABACION O DE REPRODUCCION DE IMAGENES Y DE SONIDOS DE TELEVISION, Y LAS PARTES Y ACCESORIOS DE ESTOSAPARATOS.  HILOS, CABLES (INCLUIDOS LOS COAXIALES) Y DEMASCONDUCTORES AISLADOS PARA ELECTRICIDAD, AUNQUEESTEN LAQUEADOS; ANODIZADOS O LLEVEN PIEZAS DECONEXION;" CABLES DE FIBRAS OPTICAS CONSTITUIDOSPOR FIBRAS ENFUNDADAS INDIVIDUALMENTE, INCLUSOPROVISTOS DE CONDUCTORES ELECTRICOS O CON PIEZASDE CONEXION INCORPORADAS. - Los demÃ‚Â¿s conductores elÃ‚Â¿ctricos para una tensiÃ‚Â¿n inferior o igual a 1000 V:  - Los demÃ‚Â¿s conductores elÃ‚Â¿ctricos para una tensiÃ‚Â¿n inferior o igual a 1000 V:   --Provistos de piezas de conexiÃ‚Â¿n        Los demÃ‚Â¿s""";;;;;;;;;;;;;;;;;;;;;;;
"2022,9405.10.93.000X,""CAPITULO 94MUEBLES"; MOBILIARIO MEDICOQUIRURGICO; ARTICULOS  DE CAMA Y SIMILARES; APARATOS DE ALUMBRADO NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE;  ANUNCIOS LUMINOSOS, LETREROS LUMINOSOS, PLACASINDICADORAS LUMINOSAS Y ARTICULOS SIMILARES; CONSTRUCCIONES PREFABRICADAS  Luminarias y aparatos de alumbrado (incluidos los proyectores) y sus partes, no expresados ni comprendidos en otra parte;" anuncios, letreros y placas indicadoras, luminosos y artÃ‚Â¿culos similares, con fuente de luz inseparable, y sus partes no expresadas ni comprendidas en otra parte. - LÃ‚Â¿mparas y demÃ‚Â¿s luminarias, elÃ‚Â¿ctricas, para colgar o fijar al techo o a la pared, excepto las de los tipos utilizados para el alumbrado de espacios o vÃ‚Â¿as pÃ‚Â¿blicos:  - LÃ‚Â¿mparas y demÃ‚Â¿s luminarias, elÃ‚Â¿ctricas, para colgar o fijar al techo o a la pared, excepto las de los tipos utilizados para el alumbrado de espacios o vÃ‚Â¿as pÃ‚Â¿blicos: -LÃ‚Â¿mparas y demÃ‚Â¿s aparatos elÃ‚Â¿ctricos para alumbrado, de colgar o fijar al techo o a la pared, excepto los del tipo de los utilizados para el alumbrado de espacios o vÃ‚Â¿as pÃ‚Â¿blicos.    Los demÃ‚Â¿s.     De metal comun      De metal comÃ‚Â¿n.""";;;;;;;;;;;;;;;;;;;;
"2022,6405.90.00.000Y,""CAPITULO 64 CALZADO, POLAINAS, Y ARTICULOS ANALOGOS";"  PARTES DE ESTOS ARTICULOS.  LOS DEMAS CALZADOS.        -Los demÃ‚Â¿s.""";;;;;;;;;;;;;;;;;;;;;;;;;
"2022,6403.99.90.000G,""CAPITULO 64 CALZADO, POLAINAS, Y ARTICULOS ANALOGOS";"  PARTES DE ESTOS ARTICULOS.  CALZADO CON SUELA DE CAUCHO, PLASTICO, CUERO NATURAL O REGENERADO Y PARTE SUPERIOR DE CUERO NATURAL. -Los demÃ‚Â¿s calzados  -Los demÃ‚Â¿s calzados - - Los demÃ‚Â¿s          Los demÃ‚Â¿s""";;;;;;;;;;;;;;;;;;;;;;;;;
"2022,6402.91.90.000T,""CAPITULO 64 CALZADO, POLAINAS, Y ARTICULOS ANALOGOS";"  PARTES DE ESTOS ARTICULOS.  LOS DEMAS CALZADOS CON SUELA Y PARTE SUPERIORDE CAUCHO O DE PLASTICO. -Los demÃ‚Â¿s calzados  -Los demÃ‚Â¿s calzados - - Que cubran el tobillo          Los demÃ‚Â¿s""";;;;;;;;;;;;;;;;;;;;;;;;;
"2022,6404.19.00.000Z,""CAPITULO 64 CALZADO, POLAINAS, Y ARTICULOS ANALOGOS";"  PARTES DE ESTOS ARTICULOS.  CALZADO CON SUELA DE CAUCHO, DE PLASTICO, CUERO NATURAL O REGENERADO Y PARTE SUPERIOR DE MATERIA TEXTIL. -Calzado con suela de caucho o de plÃ‚Â¿stico:  -Calzado con suela de caucho o de plÃ‚Â¿stico:     --Los demÃ‚Â¿s.""";;;;;;;;;;;;;;;;;;;;;;;;;
"2022,8506.50.10.000U,""CAPITULO 85  MAQUINAS, APARATOS Y MATERIAL ELECTRICO Y SUS PARTES";" APARATOS DE GRABACION O DE REPRODUCCION  DEL SONIDO, APARATOS DE GRABACION O DE REPRODUCCION DE IMAGENES Y DE SONIDOS DE TELEVISION, Y LAS PARTES Y ACCESORIOS DE ESTOSAPARATOS.  PILAS Y BATERIAS DE PILAS, ELECTRICAS.    -DE litio       Con volumen exterior inferior o igaul a 300 cm3""";;;;;;;;;;;;;;;;;;;;;;;;;
"2022,4017.00.00.000K,""CAPITULO 40CAUCHO Y MANUFACTURAS DE CAUCHO.        CAUCHO ENDURECIDO (POR EJEMPLO: EBONITA) EN CUALQUIER FORMA, INCLUIDOS LOS DESECHOS Y  DESPERDICIOS"; MANUFACTURAS DE CAUCHO ENDURECIDO.  CAUCHO ENDURECIDO (POR EJEMPLO: EBONITA) EN CUALQUIER FORMA, INCLUIDOS LOS DESECHOS YDESPERDICIOS;" MANUFACTURAS DE CAUCHO ENDURECIDO.""";;;;;;;;;;;;;;;;;;;;;;;;
"2022,8516.80.90.000K,""CAPITULO 85  MAQUINAS, APARATOS Y MATERIAL ELECTRICO Y SUS PARTES"; APARATOS DE GRABACION O DE REPRODUCCION  DEL SONIDO, APARATOS DE GRABACION O DE REPRODUCCION DE IMAGENES Y DE SONIDOS DE TELEVISION, Y LAS PARTES Y ACCESORIOS DE ESTOSAPARATOS.  CALENTADORES ELECTRICOS DE AGUA DE CALENTAMIENTOINSTANTANEO O ACUMULACION Y CALENTADORESELECTRICOS DE INMERSION; APARATOS ELECTRICOSPARA LA CALEFACCION DE ESPACIOS O SUELOS;APARATOS ELECTROTERMICOS P/ EL CUIDADO DEL CABELLO (POR EJEMPLO: SECADORES, RIZADORES,CALIENTATENACILLAS) O DE SECAR LAS MANOS; PLANCHAS ELECTRICAS; LOS DEMASAPARATOS ELECTROTERMICOS DE USO DOMESTICO;"RESISTENCIAS CALENTADORAS, EXCEPTO LAS DE LAPARTIDA 85.45.    -Resistencias calentadoras       Las demÃ‚Â¿s.""";;;;;;;;;;;;;;;;;;;;
"2022,3403.19.00.000E,""CAPITULO 34 JABONES, AGENTES DE SUPERFICIE ORGANICOS,  PREPARACIONES PARA LAVAR, PREPARACIONESLUBRICANTES, CERAS ARTIFICIALES, CERAS PREPARADAS,PRODUCTOS DE LIMPIEZA, VELAS Y ARTICULOS SIMILARES, PASTAS PARA MODELAR, CERAS PARA ODONTOLOGIA Y PREPARACIONES PARA USO EN  ODONTOLOGIA A BASE DE YESO FRAGUABLE.  PREPARACIONES LUBRICANTES (INCLUIDOS LOS ACEITES PARA CORTE, LAS PREPARACIONES DE AFLOJAR TUERCAS, LAS PREPARACIONES ANTIHERRUMBRE O ANTICORROSIÃ‚Â¿N Y LAS PREPARACIONES PARA EL DESMOLDEO, A BASE DE LUBRICANTES) Y PREPARACIONES DE LOS TIPOS UTILIZADOS PARA EL ENSIMADO DE MATERIAS TEXTILES O EL ACEITADO O ENGRASADO DE CUEROS Y PIELES, PELETERÃ‚Â¿A U OTRAS MATERIAS, EXCEPTO LAS QUE CONTENGAN COMO COMPONENTE BÃ‚Â¿SICO UNA PROPORCIÃ‚Â¿N DE ACEITES DE PETRÃ‚Â¿LEO O DE MINERAL BITUMINOSO SUPERIOR O IGUAL AL 70 % EN PESO. -Que contengan aceites de petrÃ‚Â¿leo o de mineral   bituminoso:  -Que contengan aceites de petrÃ‚Â¿leo o de mineral   bituminoso:     --Las demÃ‚Â¿s""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,8704.22.10.900A,""CAPITULO 87 VEHICULOS AUTOMOVILES, TRACTORES, CICLOS Y DEMAS  VEHICULOS TERRESTRES, SUS PARTES Y ACCESORIOS  VEHICULOS AUTOMOVILES PARA EL TRANSPORTE DE MERCANCIAS. - Los demÃ‚Â¿s con motor de Ã‚Â¿mbolo (pistÃ‚Â¿n), de encendido por compresiÃ‚Â¿n (DiÃ‚Â¿sel o semi DiÃ‚Â¿sel):  - Los demÃ‚Â¿s con motor de Ã‚Â¿mbolo (pistÃ‚Â¿n), de encendido por compresiÃ‚Â¿n (DiÃ‚Â¿sel o semi DiÃ‚Â¿sel): --De peso total con carga mÃ‚Â¿xima superior a 5 t  pero inferior o igual a 20 t.  --- Chasis con motor y cabina.  Los demas""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,9032.89.90.000L,""CAPITULO 90  INSTRUMENTOS Y APARATOS DE OPTICA, DEFOTOGRAFIA O DE CINEMATOGRAFIA, DE MEDIDA, DE  CONTROL O DE PRECISION"; INSTRUMENTOS Y APARATOS MEDICOQUIRURGICOS;" PARTES Y ACCESORIOS DE ESTOSINSTRUMENTOS O APARATOS  INSTRUMENTOS Y APARATOS PARA LA REGULACION O ELCONTROL, AUTOMATICOS. -Los demÃ‚Â¿s instrumentos y aparatos:  -Los demÃ‚Â¿s instrumentos y aparatos: --Los demÃ‚Â¿s.       Los demÃ‚Â¿s.""";;;;;;;;;;;;;;;;;;;;;;;;
"2022,8544.70.10.000T,""CAPITULO 85  MAQUINAS, APARATOS Y MATERIAL ELECTRICO Y SUS PARTES"; APARATOS DE GRABACION O DE REPRODUCCION  DEL SONIDO, APARATOS DE GRABACION O DE REPRODUCCION DE IMAGENES Y DE SONIDOS DE TELEVISION, Y LAS PARTES Y ACCESORIOS DE ESTOSAPARATOS.  HILOS, CABLES (INCLUIDOS LOS COAXIALES) Y DEMASCONDUCTORES AISLADOS PARA ELECTRICIDAD, AUNQUEESTEN LAQUEADOS; ANODIZADOS O LLEVEN PIEZAS DECONEXION;" CABLES DE FIBRAS OPTICAS CONSTITUIDOSPOR FIBRAS ENFUNDADAS INDIVIDUALMENTE, INCLUSOPROVISTOS DE CONDUCTORES ELECTRICOS O CON PIEZASDE CONEXION INCORPORADAS.    -Cables de fibras Ã‚Â¿pticas.       Con revestimiento externo de material   dielÃ‚Â¿ctrico.""";;;;;;;;;;;;;;;;;;;;;;;
"2022,8423.90.29.000H,""CALDERAS, MAQUINAS, APARATOS Y ARTEFACTOS MECANICOS"; PARTES DE ESTAS MAQUINAS O APARATOS, REACTORES NUCLEARES  APARATOS E INSTRUMENTOS DE PESAR, INCLUIDAS LAS BASCULAS O BALANZAS PARA COMPROBAR O CONTAR PIEZAS FABRICADAS, EXCEPTO LAS BALANZAS SENSIBLES A UN PESO INFERIOR O IGUAL A 5 cg.; PESAS PARA TODA CLASE DE BASCULAS O BALANZAS.    -Pesas para toda clase de basculas o balanzas;" partes de aparatos o instrumentos de pesar.    Partes.       Las demÃ‚Â¿s.""";;;;;;;;;;;;;;;;;;;;;;;
"2022,8436.99.00.000D,""CALDERAS, MAQUINAS, APARATOS Y ARTEFACTOS MECANICOS";" PARTES DE ESTAS MAQUINAS O APARATOS, REACTORES NUCLEARES  LAS DEMAS MAQUINAS Y APARATOS PARA LA AGRICULTURA, HORTICULTURA, LA SILVICULTURA, LAAVICULTURA O LA APICULTURA, INCLUIDOS LOS GERMINADORES CON DISPOSITIVOS MECANICOS OTERMICOS INCORPORADOS Y LAS INCUBADORAS Y CRIADORAS AVICOLAS. -Partes.  -Partes.     --Las demÃ‚Â¿s.""";;;;;;;;;;;;;;;;;;;;;;;;;
"2022,8708.91.00.000C,""CAPITULO 87 VEHICULOS AUTOMOVILES, TRACTORES, CICLOS Y DEMAS  VEHICULOS TERRESTRES, SUS PARTES Y ACCESORIOS  PARTES Y ACCESORIOS PARA VEHICULOS AUTOMOVILES DELAS PARTIDAS 87.01 A 87.05. -Las demÃ‚Â¿s partes y accesorios:  -Las demÃ‚Â¿s partes y accesorios:     - - Radiadores y sus partes""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,8511.90.00.000U,""CAPITULO 85  MAQUINAS, APARATOS Y MATERIAL ELECTRICO Y SUS PARTES"; APARATOS DE GRABACION O DE REPRODUCCION  DEL SONIDO, APARATOS DE GRABACION O DE REPRODUCCION DE IMAGENES Y DE SONIDOS DE TELEVISION, Y LAS PARTES Y ACCESORIOS DE ESTOSAPARATOS.  APARATOS Y DISPOSITIVOS ELECTRICOS DE ENCENDIDO ODE ARRANQUE, PARA MOTORES DE ENCENDIDO POR CHISPAO POR COMPRESION (POR EJEMPLO: MAGNETOS, DINAMOMAGNETOS, BOBINAS DE ENCENDIDO, BUJIAS DE ENCENDIDO O DE CALDEO (CALENTAMIENTO), MOTORES DEARRANQUE);" GENERADORES (POR EJEMPLO: DINAMOS,ALTERNADORES) Y REGULADORES DISYUNTORESUTILIZADOS CON ESTOS MOTORES.      -Partes  -Partes.""";;;;;;;;;;;;;;;;;;;;;;;;
"2022,8708.40.80.000Y,""CAPITULO 87 VEHICULOS AUTOMOVILES, TRACTORES, CICLOS Y DEMAS  VEHICULOS TERRESTRES, SUS PARTES Y ACCESORIOS  PARTES Y ACCESORIOS PARA VEHICULOS AUTOMOVILES DELAS PARTIDAS 87.01 A 87.05.    -Cajas de cambio.    Las demÃ‚Â¿s cajas de cambio""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,9032.89.82.000R,""CAPITULO 90  INSTRUMENTOS Y APARATOS DE OPTICA, DEFOTOGRAFIA O DE CINEMATOGRAFIA, DE MEDIDA, DE  CONTROL O DE PRECISION"; INSTRUMENTOS Y APARATOS MEDICOQUIRURGICOS;" PARTES Y ACCESORIOS DE ESTOSINSTRUMENTOS O APARATOS  INSTRUMENTOS Y APARATOS PARA LA REGULACION O ELCONTROL, AUTOMATICOS. -Los demÃ‚Â¿s instrumentos y aparatos:  -Los demÃ‚Â¿s instrumentos y aparatos: --Los demÃ‚Â¿s.    Los demÃ‚Â¿s para la regulacion o    control de    magnitudes no electricas.     De temperatura      De temperatura.""";;;;;;;;;;;;;;;;;;;;;;;;
"2022,9403.30.00.000C,""CAPITULO 94MUEBLES"; MOBILIARIO MEDICOQUIRURGICO; ARTICULOS  DE CAMA Y SIMILARES; APARATOS DE ALUMBRADO NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE;  ANUNCIOS LUMINOSOS, LETREROS LUMINOSOS, PLACASINDICADORAS LUMINOSAS Y ARTICULOS SIMILARES;" CONSTRUCCIONES PREFABRICADAS  LOS DEMAS MUEBLES Y SUS PARTES.        -Muebles de madera del tipo de los utilizados en  las oficinas.""";;;;;;;;;;;;;;;;;;;;;
"2022,8481.80.95.000U,""CALDERAS, MAQUINAS, APARATOS Y ARTEFACTOS MECANICOS";" PARTES DE ESTAS MAQUINAS O APARATOS, REACTORES NUCLEARES  ARTICULOS DE GRIFERIA Y ORGANOS SIMILARES PARATUBERIAS, CALDERAS, DEPOSITOS, CUBAS OCONTINENTES SIMILARES, INCLUIDAS LAS VALVULASREDUCTORAS DE PRESION Y LAS VALVULASTERMOSTATICAS    -Los demÃ‚Â¿s artÃ‚Â¿culos de griferÃ‚Â¿a y Ã‚Â¿rganos similares.    Los demÃ‚Â¿s.       VÃ‚Â¿lvulas esfÃ‚Â¿ricas.""";;;;;;;;;;;;;;;;;;;;;;;;;
"2022,0703.20.90.000T,""CAPITULO 7 LEGUMBRES Y HORTALIZAS, PLANTAS, RAICES YTUBERCULOS ALIMENTICIOS.  CEBOLLAS, CHALOTES, AJOS, PUERROS Y DEMAS HORTALIZAS (INCLUSO """"SILVESTRES"""") ALIACEAS, FRESCOS O REFRIGERADOS.    - Ajos       Los demÃ‚Â¿s.""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,4202.22.10.000X,""CAPITULO 42 MANUFACTURAS DE CUERO"; ARTICULOS  DE GUARNICIONERIA O DE TALABARTERIA;ARTICULOS DE VIAJE, BOLSOS DE MANO (CARTERAS)  Y CONTINENTES SIMILARES; MANUFACTURAS DE TRIPA  BAULES, MALETAS (VALIJAS), MALETINES, INCLUIDOS LOS DE ASEO Y LOS PORTADOCUMENTOS, PORTAFOLIOS (CARTERAS DE MANO),CARTAPACIOS, FUNDAS Y ESTUCHES PARA GAFAS (ANTEOJOS), BINOCULARES, CAMARAS FOTOGRAFICAS O CINEMATOGRAFICAS, INSTRUMENTOS MUSICALES O ARMAS Y CONTINENTES SIMILARES;" SACOS DE VIAJE, SACOS (BOLSAS)* AISLANTES PARA ALIMENTOS Y BEBIDAS, BOLSAS DE ASEO, MOCHILAS, BOLSOS DE MANO(CARTERAS), BOLSAS PARA LA COMPRA, BILLETERAS, PORTAMONEDAS, PORTAMAPAS, PETACAS, PITILLERAS Y BOLSAS PARA TABACO, BOLSAS PARA HERRAMIENTAS Y PARA ARTICULOS DE DEPORTE, ESTUCHES PARA FRASCOS Y BOTELLAS, ESTUCHES PARA JOYAS, POLVERAS, ESTUCHES PARA ORFEBRERIA Y CONTINENTES SIMILARES, DE CUERO NATURAL O DE CUERO REGENERADO, HOJAS DE PLASTICO, MATERIA TEXTIL, FIBRA VULCANIZADA O CARTON, O RECUBIERTOS TOTALMENTE O EN SU MAYOR PARTE CON ESTAS MATERIAS O PAPEL. -Bolsos de mano (carteras), incluso con bandolera o sin asas.  -Bolsos de mano (carteras), incluso con bandolera o sin asas. --Con la superficie exterior de hojas de   plÃ‚Â¿stico o materia textil.       De hojas de plÃ‚Â¿stico.""";;;;;;;;;;;;;;;;;;;;;;
"2022,6210.50.00.000G,""CAPITULO 62  PRENDAS Y COMPLEMENTOS (ACCESORIOS) DE VESTIR,  EXCEPTO LOS DE PUNTO  PRENDAS DE VESTIR CONFECCIONADAS CON PRODUCTOS DELAS PARTIDAS 5602,5603, 5903, 5906 O 5907.        -Las demÃ‚Â¿s prendas de vestir para mujeres o niÃ‚Â¿as.""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,6104.43.00.000A,""CAPITULO 61  PRENDAS Y COMPLEMENTOS (ACCESORIOS) DE VESTIR, DE PUNTO  TRAJES SASTRE, CONJUNTOS, CHAQUETAS (SACOS), VESTIDOS, FALDAS, FALDAS PANTALON, PANTALONES LARGOS, PANTALONES CON PETO Y PANTALONES CORTOS (CALZONES) Y """"SHORTS""""(EXCEPTO DE BAÃ‚Â¿O), DE PUNTO, PARA MUJERES O NIÃ‚Â¿AS. -Vestidos:  -Vestidos:     --De fibras sintÃ‚Â¿ticas.""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,6104.63.00.000D,""CAPITULO 61  PRENDAS Y COMPLEMENTOS (ACCESORIOS) DE VESTIR, DE PUNTO  TRAJES SASTRE, CONJUNTOS, CHAQUETAS (SACOS), VESTIDOS, FALDAS, FALDAS PANTALON, PANTALONES LARGOS, PANTALONES CON PETO Y PANTALONES CORTOS (CALZONES) Y """"SHORTS""""(EXCEPTO DE BAÃ‚Â¿O), DE PUNTO, PARA MUJERES O NIÃ‚Â¿AS. -Pantalones largos, pantalones con peto y pantalones cortos(calzones) y """"shorts"""":  -Pantalones largos, pantalones con peto y pantalones cortos(calzones) y """"shorts"""":     --De fibras sintÃ‚Â¿ticas.""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,6202.93.00.000Q,""CAPITULO 62  PRENDAS Y COMPLEMENTOS (ACCESORIOS) DE VESTIR,  EXCEPTO LOS DE PUNTO  ABRIGOS, CHAQUETONES, CAPAS, ANORAKS, CAZADORAS Y ARTICULOS SIMILARES, PARA MUJERES O NIÃ‚Â¿AS, CON EXCEPTO LOS ARTICULOS DE LA PARTIDA 6204. -Los demÃ‚Â¿s:  -Los demÃ‚Â¿s:     --De fibras sintÃ‚Â¿ticas o artificiales.""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,6204.44.00.000U,""CAPITULO 62  PRENDAS Y COMPLEMENTOS (ACCESORIOS) DE VESTIR,  EXCEPTO LOS DE PUNTO  TRAJE SASTRE, CONJUNTOS, CHAQUETAS (SACOS), VESTIDOS, FALDAS, FALDAS PANTALON, PANTALONES LARGOS, PANTALONES CON PETO Y PANTALONES CORTOS (CALZONES)Y """"SHORTS""""(EXCEPTO  DE BAÃ‚Â¿O), PARA MUJERES O NIÃ‚Â¿AS. -Vestidos:  -Vestidos:     --De fibras artificiales.""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,6104.33.00.000L,""CAPITULO 61  PRENDAS Y COMPLEMENTOS (ACCESORIOS) DE VESTIR, DE PUNTO  TRAJES SASTRE, CONJUNTOS, CHAQUETAS (SACOS), VESTIDOS, FALDAS, FALDAS PANTALON, PANTALONES LARGOS, PANTALONES CON PETO Y PANTALONES CORTOS (CALZONES) Y """"SHORTS""""(EXCEPTO DE BAÃ‚Â¿O), DE PUNTO, PARA MUJERES O NIÃ‚Â¿AS. -Chaquetas (sacos):  -Chaquetas (sacos):     --De fibras sintÃ‚Â¿ticas.""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,6102.30.00.000N,""CAPITULO 61  PRENDAS Y COMPLEMENTOS (ACCESORIOS) DE VESTIR, DE PUNTO  ABRIGOS, CHAQUETONES, CAPAS, ANORAKS, CAZADORAS Y ARTICULOS SIMILARES, DE PUNTO, PARA MUJERES O NIÃ‚Â¿AS, EXCEPTO LOS ARTICULOS DE LA PARTIDA 6104.        -De fibras sintÃ‚Â¿ticas o artificiales.""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,6402.20.00.000U,""CAPITULO 64 CALZADO, POLAINAS, Y ARTICULOS ANALOGOS";"  PARTES DE ESTOS ARTICULOS.  LOS DEMAS CALZADOS CON SUELA Y PARTE SUPERIORDE CAUCHO O DE PLASTICO.        -Calzado con la parte superior de tiras o bridas fijas a la suela por tetones (espigas).""";;;;;;;;;;;;;;;;;;;;;;;;;
"2022,6109.90.00.000C,""CAPITULO 61  PRENDAS Y COMPLEMENTOS (ACCESORIOS) DE VESTIR, DE PUNTO  """"T SHIRTS"""" Y CAMISETAS INTERIORES, DE PUNTO.        -De las demÃ‚Â¿s materias textiles.""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,6110.30.00.000X,""CAPITULO 61  PRENDAS Y COMPLEMENTOS (ACCESORIOS) DE VESTIR, DE PUNTO  SUETERES (JERSEIS), """"PULLOVERS"""", """"CARDIGANS"""",CHALECOS Y ARTICULOS SIMILARES, DE PUNTO.        -De fibras sintÃ‚Â¿ticas o artificiales.""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,6106.20.00.000Y,""CAPITULO 61  PRENDAS Y COMPLEMENTOS (ACCESORIOS) DE VESTIR, DE PUNTO  CAMISAS, BLUSAS Y BLUSAS CAMISERAS, DE PUNTO,PARA MUJERES O NIÃ‚Â¿AS.        -De fibras sintÃ‚Â¿ticas o artificiales.""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,6204.33.00.000T,""CAPITULO 62  PRENDAS Y COMPLEMENTOS (ACCESORIOS) DE VESTIR,  EXCEPTO LOS DE PUNTO  TRAJE SASTRE, CONJUNTOS, CHAQUETAS (SACOS), VESTIDOS, FALDAS, FALDAS PANTALON, PANTALONES LARGOS, PANTALONES CON PETO Y PANTALONES CORTOS (CALZONES)Y """"SHORTS""""(EXCEPTO  DE BAÃ‚Â¿O), PARA MUJERES O NIÃ‚Â¿AS. -Chaquetas (sacos):  -Chaquetas (sacos):     --De fibras sintÃ‚Â¿ticas.""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,4203.10.00.000T,""CAPITULO 42 MANUFACTURAS DE CUERO"; ARTICULOS  DE GUARNICIONERIA O DE TALABARTERIA;ARTICULOS DE VIAJE, BOLSOS DE MANO (CARTERAS)  Y CONTINENTES SIMILARES;" MANUFACTURAS DE TRIPA  PRENDAS Y COMPLEMENTOS (ACCESORIOS), DE VESTIR,DE CUERO NATURAL O CUERO REGENERADO.        -Prendas de vestir""";;;;;;;;;;;;;;;;;;;;;;;
